,d_spell,f_spell,champion,side,role,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
3187,14,4,Thresh,Side.red,Lane.utility,29,786,786,786,9,10607,3.4444444444444446,2,16,42,21265,29375,29,0,81,True
3188,12,4,Graves,Side.red,Lane.top_lane,3,3159,33270,3159,7,12242,1.0,4,15,21,211300,30338,228,1,26,False
3189,14,4,Lulu,Side.blue,Lane.utility,15,1163,1369,1163,4,7832,3.75,0,13,34,13850,10407,15,0,48,True
3190,11,4,LeeSin,Side.red,Lane.jungle,9,33,29608,33,5,14148,4.2,12,15,24,160626,39856,13,0,42,False
3191,4,14,Thresh,Side.red,Lane.utility,19,90,90,90,6,6552,3.1666666666666665,0,11,27,11361,11083,23,0,48,True
3192,11,4,XinZhao,Side.blue,Lane.jungle,7,3338,30050,3338,1,14988,18.0,11,16,19,180129,32041,44,5,40,True
3193,4,14,Rakan,Side.blue,Lane.utility,15,389,493,389,2,5095,8.5,2,9,12,14155,7246,30,0,44,True
3194,12,4,Graves,Side.blue,Lane.top_lane,6,6745,7284,6745,5,11176,1.4,1,15,12,140931,15840,200,3,13,True
3195,12,4,Lissandra,Side.red,Lane.mid_lane,6,641,641,641,5,8893,1.4,1,13,37,112095,18485,165,1,27,False
3196,4,12,Sylas,Side.blue,Lane.mid_lane,1,786,786,786,7,6250,0.5714285714285714,3,9,15,37587,14932,105,0,10,False
3197,4,12,Yone,Side.red,Lane.mid_lane,3,4170,6392,4170,9,9573,0.7777777777777778,4,13,12,115236,22561,166,2,13,False
3198,11,4,LeeSin,Side.red,Lane.jungle,8,846,17665,846,3,7491,4.0,4,10,11,83130,15613,19,1,20,True
3199,4,7,Caitlyn,Side.blue,Lane.bot_lane,6,7713,7713,7713,0,10046,11.0,5,11,6,95146,5811,170,4,13,True
3200,4,14,TwistedFate,Side.blue,Lane.mid_lane,7,0,0,0,15,12857,1.0666666666666667,9,15,59,126089,33633,167,0,22,False
3201,4,11,Zed,Side.red,Lane.jungle,8,2762,34739,2762,4,13802,4.25,9,16,6,187916,22364,35,1,26,True
3202,14,12,Gwen,Side.blue,Lane.top_lane,2,2304,2748,2304,8,7653,0.625,3,11,4,61609,20676,110,0,13,False
3203,6,11,Taric,Side.blue,Lane.jungle,17,1935,7920,1935,9,10336,2.4444444444444446,5,13,28,84432,26796,30,4,33,True
3204,4,14,Thresh,Side.red,Lane.utility,24,577,673,577,6,10448,4.666666666666667,4,16,52,26746,25435,38,0,76,True
3205,12,4,Irelia,Side.red,Lane.top_lane,3,8180,10179,8180,6,12823,2.1666666666666665,10,15,9,142565,23553,185,5,16,True
3206,4,7,Caitlyn,Side.blue,Lane.bot_lane,14,6878,6878,6878,3,10275,6.666666666666667,6,11,7,98629,10415,138,2,11,True
3207,4,14,Leblanc,Side.blue,Lane.mid_lane,7,1158,8453,1158,2,9960,7.0,7,14,16,82001,15125,146,0,19,True
3208,14,4,Nautilus,Side.blue,Lane.utility,4,0,0,0,6,4593,1.1666666666666667,3,8,21,21719,9623,30,0,18,False
3209,12,4,Yone,Side.red,Lane.mid_lane,7,4596,9709,4596,4,14212,3.5,7,16,24,196820,24312,225,1,28,False
3210,12,3,Corki,Side.blue,Lane.top_lane,2,3200,4919,3200,4,13441,1.75,5,16,6,191683,20685,232,1,29,False
3211,4,14,Karma,Side.red,Lane.utility,15,858,1023,858,8,7624,1.875,0,12,22,25779,21412,20,0,87,False
3212,4,12,Corki,Side.blue,Lane.mid_lane,6,1488,1776,1488,5,11700,1.8,3,16,3,161904,21735,246,1,31,False
3213,14,6,Tryndamere,Side.red,Lane.top_lane,3,4356,4356,4356,5,9052,2.0,7,13,10,85100,18288,112,1,9,False
3214,4,14,Vex,Side.blue,Lane.utility,17,1085,1295,1085,3,8710,7.666666666666667,6,12,34,34419,11118,20,1,65,True
3215,14,4,Qiyana,Side.blue,Lane.mid_lane,1,647,647,647,9,7780,0.6666666666666666,5,11,9,58840,16076,100,0,19,False
3216,4,12,Corki,Side.red,Lane.mid_lane,5,2056,23793,2056,3,13484,2.3333333333333335,2,15,1,213547,25451,238,3,26,False
3217,4,7,Caitlyn,Side.red,Lane.bot_lane,5,3152,3790,3152,2,7679,3.5,2,11,12,80418,7499,137,1,15,True
3218,12,4,Viktor,Side.blue,Lane.mid_lane,4,1550,5582,1550,8,10634,0.875,3,14,8,118880,16914,167,2,17,False
3219,12,4,Irelia,Side.blue,Lane.top_lane,3,803,4389,803,7,12362,1.2857142857142858,6,16,10,158480,34164,222,0,19,False
3220,14,4,Lulu,Side.red,Lane.utility,16,2016,2016,2016,1,7202,17.0,1,10,11,14339,7403,8,1,27,True
3221,12,4,Irelia,Side.blue,Lane.top_lane,7,6361,12007,6361,7,15274,2.142857142857143,8,17,12,228539,30710,248,2,23,False
3222,12,4,Viktor,Side.red,Lane.mid_lane,3,2746,2746,2746,1,11074,7.0,4,14,6,132583,9520,195,1,15,True
3223,12,4,Syndra,Side.red,Lane.mid_lane,3,135,757,135,7,8968,1.0,4,12,27,97045,14603,159,0,13,False
3224,14,4,Karma,Side.red,Lane.utility,6,51,223,51,8,8563,1.375,5,11,25,26210,20000,28,0,36,False
3225,4,3,Aphelios,Side.blue,Lane.bot_lane,4,2580,10994,2580,6,17143,2.5,11,17,23,267828,20128,261,1,33,False
3226,7,4,Ezreal,Side.red,Lane.bot_lane,3,1982,2223,1982,2,10382,8.0,13,12,1,103582,11316,140,0,13,True
3227,4,14,Braum,Side.blue,Lane.utility,24,342,868,342,5,9532,5.0,1,15,39,26905,26366,35,0,86,True
3228,4,11,RekSai,Side.blue,Lane.jungle,7,0,36600,0,6,11781,2.0,5,15,20,171232,30421,31,0,46,False
3229,4,12,Leblanc,Side.blue,Lane.mid_lane,4,1837,1837,1837,5,11597,2.4,8,15,12,115157,18398,206,1,17,False
3230,7,4,Jhin,Side.blue,Lane.bot_lane,7,10884,26287,10884,3,20425,8.0,17,18,33,265940,20127,254,5,33,True
3231,6,4,Tryndamere,Side.red,Lane.top_lane,7,3523,6269,3523,7,13385,2.2857142857142856,9,15,14,153328,29117,194,1,12,False
3232,4,7,Aphelios,Side.blue,Lane.bot_lane,3,3622,3622,3622,8,6510,0.875,4,8,13,41589,13459,79,0,5,False
3233,12,4,Renekton,Side.red,Lane.top_lane,8,700,16518,700,0,10754,12.0,4,15,19,143737,17812,193,1,16,True
3234,11,4,XinZhao,Side.red,Lane.jungle,15,1979,34697,1979,5,16704,5.8,14,17,33,211456,49832,38,0,40,False
3235,4,7,Ezreal,Side.blue,Lane.bot_lane,5,5902,6234,5902,3,8896,3.0,4,11,0,78240,5929,165,1,13,True
3236,12,4,Yone,Side.red,Lane.top_lane,2,290,1070,290,6,7165,0.3333333333333333,0,13,10,100662,11969,173,0,10,False
3237,7,4,Ezreal,Side.red,Lane.bot_lane,9,10251,19431,10251,4,14719,5.75,14,14,3,148501,14048,178,3,14,True
3238,14,4,Yasuo,Side.red,Lane.mid_lane,7,6070,16843,6070,9,12590,1.0,2,16,16,198114,25012,222,3,24,False
3239,4,14,Alistar,Side.blue,Lane.utility,12,291,291,291,3,7338,4.666666666666667,2,12,35,22675,14158,49,0,56,True
3240,3,4,Xerath,Side.blue,Lane.utility,10,1883,5228,1883,10,11805,2.1,11,15,33,43934,22264,34,1,83,True
3241,4,7,Jinx,Side.blue,Lane.bot_lane,6,8047,24876,8047,3,15909,8.333333333333334,19,14,18,160470,17911,193,3,33,True
3242,11,4,RekSai,Side.red,Lane.jungle,3,2365,16210,2365,5,8233,1.4,4,12,18,100412,21295,23,1,24,False
3243,12,4,Viktor,Side.red,Lane.top_lane,1,4927,7039,4927,10,11194,0.3,2,15,6,137994,25717,206,3,18,False
3244,12,4,Ziggs,Side.red,Lane.bot_lane,6,13831,14133,13831,7,14605,2.0,8,16,25,197854,19373,242,2,13,False
3245,11,4,RekSai,Side.red,Lane.jungle,6,4462,31796,4462,0,12908,20.0,14,14,26,149315,15763,56,4,28,True
3246,12,4,Leblanc,Side.blue,Lane.mid_lane,17,4632,8966,4632,7,16038,4.571428571428571,15,18,22,174002,29733,183,2,36,True
3247,12,4,Irelia,Side.blue,Lane.top_lane,11,4230,6233,4230,9,14180,1.7777777777777777,5,17,16,200727,38676,260,2,18,False
3248,11,4,RekSai,Side.blue,Lane.jungle,13,1466,18997,1466,7,12945,2.857142857142857,7,16,14,138999,33099,24,0,43,False
3249,11,4,LeeSin,Side.red,Lane.jungle,8,846,17665,846,3,7491,4.0,4,10,11,83130,15613,19,1,20,True
3250,14,4,Lux,Side.blue,Lane.utility,9,721,721,721,1,5651,11.0,2,9,17,19913,4853,19,0,27,True
3251,4,11,Kindred,Side.red,Lane.jungle,14,1165,30855,1165,8,12031,2.25,4,16,4,162355,24045,26,1,47,True
3252,11,4,Talon,Side.blue,Lane.jungle,12,1674,11792,1674,11,16474,2.1818181818181817,12,18,12,252810,40586,90,0,28,False
3253,7,4,Jinx,Side.blue,Lane.bot_lane,11,2317,8981,2317,10,10997,1.5,4,14,14,131281,22516,178,0,12,False
3254,12,4,Akshan,Side.blue,Lane.top_lane,16,12970,26961,12970,6,20339,6.0,20,18,14,237532,27246,203,6,25,True
3255,4,12,Jax,Side.red,Lane.top_lane,2,3410,4761,3410,8,7851,0.75,4,13,10,73345,16649,119,1,15,False
3256,1,4,Ezreal,Side.red,Lane.bot_lane,9,3138,10727,3138,6,12816,2.0,3,15,2,142694,14981,216,1,24,True
3257,7,4,Jhin,Side.red,Lane.bot_lane,4,1149,1483,1149,3,9623,2.0,2,12,15,117907,10689,197,2,25,False
3258,4,14,Leona,Side.blue,Lane.utility,6,0,2380,0,8,6139,1.125,3,10,38,15028,16754,33,0,51,False
3259,4,14,Rakan,Side.blue,Lane.utility,18,1559,5179,1559,5,9113,4.0,2,14,23,26663,16446,50,2,95,True
3260,4,1,Aphelios,Side.red,Lane.bot_lane,13,3575,3575,3575,8,13998,3.125,12,14,24,126854,22155,182,1,26,False
3261,7,4,Twitch,Side.red,Lane.bot_lane,2,802,802,802,6,7657,1.1666666666666667,5,11,3,78041,10196,138,0,7,False
3262,14,4,Nautilus,Side.blue,Lane.utility,16,199,422,199,9,9387,2.2222222222222223,4,14,67,23199,20603,35,0,69,True
3263,4,3,Ryze,Side.red,Lane.mid_lane,12,1281,9392,1281,11,9540,1.5454545454545454,5,13,25,107928,25570,109,0,22,True
3264,11,14,Talon,Side.blue,Lane.jungle,8,619,19239,619,4,11949,5.0,12,13,5,151127,23750,26,0,31,True
3265,4,11,Graves,Side.red,Lane.jungle,1,3180,31520,3180,4,10054,1.5,5,13,13,169111,17691,64,2,25,False
3266,4,7,Xayah,Side.blue,Lane.bot_lane,6,1852,2726,1852,6,7188,1.5,3,10,8,67176,11676,126,0,10,False
3267,12,14,Katarina,Side.red,Lane.mid_lane,3,1460,1460,1460,9,9521,1.1111111111111112,7,13,0,81028,22123,149,0,17,False
3268,4,12,Akshan,Side.blue,Lane.top_lane,7,5089,9659,5089,1,14723,15.0,8,17,0,213008,14198,268,2,35,True
3269,3,4,Jhin,Side.red,Lane.bot_lane,6,2718,2718,2718,6,11331,1.8333333333333333,5,15,15,167014,18497,225,2,22,False
3270,7,4,Jhin,Side.red,Lane.bot_lane,8,621,4296,621,4,10506,3.5,6,13,17,100229,11609,181,0,4,False
3271,4,1,Jinx,Side.blue,Lane.bot_lane,4,4445,15840,4445,3,12267,2.3333333333333335,3,14,10,157581,10894,238,2,39,True
3272,14,4,Thresh,Side.red,Lane.utility,6,52,198,52,8,5684,0.875,1,11,27,14661,16547,29,0,39,False
3273,12,4,Orianna,Side.red,Lane.mid_lane,3,1260,1260,1260,1,8118,9.0,6,12,13,67085,7599,142,1,8,True
3274,14,4,Leona,Side.blue,Lane.utility,7,0,0,0,4,5266,1.75,0,10,20,14004,9160,38,0,47,False
3275,4,12,Syndra,Side.blue,Lane.mid_lane,11,2070,5923,2070,6,13020,3.0,7,17,29,165657,14705,209,2,15,True
3276,14,4,Zac,Side.blue,Lane.utility,21,298,4627,298,2,6964,12.0,3,11,38,33629,11892,32,0,33,True
3277,4,14,Qiyana,Side.red,Lane.mid_lane,8,3795,5522,3795,7,12596,2.7142857142857144,11,15,15,118051,19898,160,0,13,True
3278,3,14,Yuumi,Side.blue,Lane.utility,26,310,551,310,12,8874,2.4166666666666665,3,14,25,21077,19448,15,0,65,False
3279,12,4,Yone,Side.red,Lane.mid_lane,5,6616,16399,6616,1,12563,14.0,9,15,17,138954,14367,187,2,28,True
3280,4,11,Talon,Side.red,Lane.jungle,7,2094,20445,2094,4,13451,4.5,11,16,3,183461,25169,38,1,40,True
3281,14,4,Gragas,Side.red,Lane.utility,8,0,213,0,6,6385,1.3333333333333333,0,13,35,17958,15217,11,0,72,False
