,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
139,4,7,Draven,Side.blue,5,4986,4986,4986,3,10159,4.0,7,11,4,83716,10224,165,3,21,True
140,4,11,Nidalee,Side.blue,8,373,22973,373,12,10554,1.25,7,13,8,149954,38510,20,0,21,False
141,4,11,Evelynn,Side.red,7,1590,25198,1590,0,12235,15.0,8,15,7,152038,18127,39,2,26,True
142,14,12,Camille,Side.red,8,7943,15279,7943,8,14951,2.0,8,18,22,164211,47290,213,3,20,True
143,4,14,Zoe,Side.blue,12,2664,2664,2664,4,12665,6.0,12,15,40,88886,13155,144,0,23,True
144,7,3,Yuumi,Side.blue,14,173,173,173,5,7184,3.0,1,13,22,14357,9080,12,0,54,False
145,4,14,Zoe,Side.blue,7,1908,4769,1908,2,10530,5.5,4,15,25,102733,7431,181,0,25,True
146,4,7,Caitlyn,Side.red,19,8393,15828,8393,6,11721,4.0,5,14,5,109834,16204,133,5,9,True
147,7,4,Nami,Side.red,12,171,257,171,3,7265,4.333333333333333,1,12,24,13353,11100,13,0,78,False
148,11,4,Zac,Side.blue,17,1836,20663,1836,4,16477,6.75,10,18,93,243113,57823,45,1,21,True
149,4,7,Draven,Side.red,5,8326,25536,8326,4,17453,4.75,14,15,5,179816,19089,211,1,38,True
150,6,12,TahmKench,Side.blue,8,4478,6187,4478,2,11387,5.5,3,16,15,97486,25759,181,2,18,True
151,3,14,Yuumi,Side.blue,29,1235,1700,1235,3,9962,10.666666666666666,3,15,18,20411,7252,4,1,54,True
152,4,12,Vex,Side.red,2,1343,1343,1343,4,7305,1.75,5,12,27,72770,10442,148,0,10,False
153,4,14,Morgana,Side.red,13,224,496,224,9,9195,1.4444444444444444,0,14,43,17218,26639,23,0,120,False
154,3,4,Swain,Side.red,8,514,1023,514,10,11435,1.8,10,13,53,97878,27792,158,0,17,False
155,11,4,Khazix,Side.blue,11,1609,34039,1609,7,13822,3.0,10,15,7,167122,24645,35,3,36,True
156,4,11,XinZhao,Side.red,10,1598,28035,1598,2,12715,10.5,11,15,21,170225,32078,28,1,16,True
157,4,12,Vex,Side.blue,8,2399,2399,2399,5,9718,2.8,6,14,18,96215,11586,146,0,27,True
158,4,14,Blitzcrank,Side.blue,23,187,519,187,4,9664,6.75,4,14,42,22982,20345,39,0,93,True
159,4,12,DrMundo,Side.red,10,5396,12067,5396,8,12912,1.75,4,16,19,172007,58113,227,2,19,False
160,11,4,Vi,Side.blue,7,1730,24153,1730,0,10149,12.0,5,14,17,129686,20831,16,0,26,True
161,14,11,Talon,Side.red,4,0,10307,0,7,7588,1.1428571428571428,4,12,2,108301,21924,5,1,14,False
162,4,12,Renekton,Side.red,5,398,398,398,5,7288,1.4,2,12,15,76844,18913,139,0,15,True
163,4,1,Aphelios,Side.blue,1,2301,2301,2301,0,6916,4.0,3,9,7,48184,4231,129,1,9,True
164,4,3,Aphelios,Side.red,6,5248,10522,5248,8,9702,1.625,7,12,21,78053,15589,115,0,8,True
165,3,4,Jhin,Side.red,4,0,4592,0,1,5717,6.0,2,9,9,52569,4999,128,0,7,False
166,4,6,Tryndamere,Side.blue,4,7424,23126,7424,6,18342,2.5,11,18,16,278401,39358,292,3,44,False
167,4,3,Lucian,Side.red,4,1922,1922,1922,8,9800,0.875,3,12,2,111104,18261,204,1,24,False
168,12,4,Chogath,Side.blue,6,321,5570,321,6,8846,1.3333333333333333,2,14,67,77129,31447,126,0,24,True
169,12,4,Jayce,Side.red,4,1554,1554,1554,12,8386,0.75,5,10,7,63822,19092,104,0,16,False
170,4,12,MonkeyKing,Side.red,6,3535,4370,3535,2,10540,7.0,8,14,10,70650,13840,136,1,17,True
171,12,4,Ryze,Side.blue,10,4064,14034,4064,2,12838,10.5,11,14,26,162714,12717,170,1,18,True
172,3,4,Lulu,Side.blue,5,761,1472,761,6,6530,1.0,1,11,14,10848,14958,21,0,52,False
173,4,12,TwistedFate,Side.red,8,1815,1984,1815,4,8454,2.25,1,13,23,111892,10164,161,0,7,True
174,7,4,Lucian,Side.blue,5,3345,22642,3345,9,16063,1.6666666666666667,10,17,0,232098,30119,245,2,31,True
175,4,7,Kaisa,Side.blue,0,0,342,0,8,3620,0.0,0,8,0,26820,10663,69,0,8,False
176,12,14,Gwen,Side.red,1,6432,8821,6432,2,10986,5.0,9,15,5,109827,11610,188,3,24,True
177,4,12,Jayce,Side.blue,6,9003,12251,9003,4,14588,3.5,8,16,7,157203,13594,196,4,22,True
178,12,4,Sylas,Side.blue,9,4299,4299,4299,3,13563,8.333333333333334,16,15,35,115721,28231,167,2,26,True
179,14,4,Thresh,Side.red,15,276,4770,276,8,6913,2.0,1,11,35,19843,18689,33,0,70,False
180,14,4,Rakan,Side.red,5,408,475,408,6,5984,1.1666666666666667,2,9,23,7065,12660,9,0,63,False
181,14,4,Blitzcrank,Side.blue,7,492,492,492,10,6971,1.0,3,12,39,16929,26955,34,0,69,False
182,11,4,Ekko,Side.red,1,2056,8032,2056,3,9953,2.3333333333333335,6,13,7,132959,20508,50,0,14,False
183,4,1,Jinx,Side.blue,12,4932,20600,4932,4,11596,4.5,6,13,16,128044,11849,150,2,26,True
184,4,12,Fiora,Side.red,1,369,530,369,3,5928,0.6666666666666666,1,12,5,49576,19076,127,0,11,False
185,11,4,Ekko,Side.red,4,2281,29991,2281,2,9345,6.0,8,12,14,124685,15556,30,1,17,True
186,11,4,Kindred,Side.red,5,2193,6780,2193,10,12619,1.3,8,14,8,159135,24861,69,2,19,False
187,14,4,Leona,Side.red,7,0,150,0,7,6394,1.2857142857142858,2,11,46,21984,17615,35,0,62,False
188,12,14,Sejuani,Side.blue,11,3798,6292,3798,3,10767,6.333333333333333,8,14,25,93824,20926,135,2,18,True
189,11,4,Elise,Side.blue,9,818,37588,818,5,14792,4.4,13,17,32,181728,32035,21,2,54,False
190,12,4,Irelia,Side.blue,0,1536,4595,1536,12,8530,0.08333333333333333,1,13,10,125067,27728,182,1,10,False
191,4,14,Akshan,Side.blue,2,1711,2783,1711,4,8437,2.5,8,11,2,68136,8159,124,1,9,True
192,11,4,Ekko,Side.red,6,1965,28720,1965,1,9065,13.0,7,11,18,105600,15262,12,2,11,True
193,6,11,Hecarim,Side.red,13,1828,20889,1828,4,12929,5.5,9,16,30,193352,37771,39,1,27,True
194,4,12,Lucian,Side.blue,14,6013,26216,6013,12,20204,1.6666666666666667,6,18,1,328121,47162,282,3,55,False
195,12,4,Viktor,Side.blue,7,4871,11297,4871,5,15208,2.8,7,17,20,173389,22314,231,1,32,False
196,14,4,Qiyana,Side.red,3,795,2406,795,8,13266,2.0,13,15,27,119441,24563,154,0,20,False
197,4,11,Fiddlesticks,Side.blue,2,0,2585,0,9,7394,0.4444444444444444,2,10,15,81576,21254,29,0,26,False
198,11,4,Nidalee,Side.red,12,1618,60059,1618,4,16735,8.25,21,17,4,230765,35532,28,1,14,True
199,14,4,Thresh,Side.blue,4,0,472,0,6,4381,0.8333333333333334,1,9,13,13176,8272,25,0,33,False
200,4,6,Tryndamere,Side.red,3,4996,5648,4996,5,11325,1.4,4,14,10,121512,20395,202,1,20,False
201,4,12,Orianna,Side.red,5,2081,8075,2081,6,11066,1.1666666666666667,2,15,24,136031,18659,205,1,21,False
202,7,4,Jhin,Side.blue,11,2142,6745,2142,10,16249,2.4,13,17,27,187178,23000,224,2,42,True
203,4,12,Chogath,Side.blue,1,2366,2366,2366,6,8933,0.6666666666666666,3,13,49,101065,20021,166,2,11,False
204,12,4,Sylas,Side.red,5,6521,10405,6521,3,9717,2.3333333333333335,2,16,14,116481,18745,176,2,12,True
205,14,4,Lulu,Side.red,13,1586,1920,1586,5,8816,2.6,0,14,31,22332,14966,16,0,103,True
206,4,12,Gangplank,Side.red,10,6112,21515,6112,7,13121,1.8571428571428572,3,16,6,202701,25157,212,3,26,False
207,4,12,Yone,Side.blue,12,3850,7003,3850,5,10819,3.6,6,15,41,125228,25328,165,0,10,True
208,7,4,Lux,Side.blue,8,2013,3963,2013,4,10794,2.5,2,15,27,71051,9024,66,1,89,False
209,7,4,Jinx,Side.red,11,1897,11758,1897,10,14450,2.0,9,15,20,209164,27542,246,0,29,False
210,11,4,Ekko,Side.blue,11,2780,16950,2780,4,12088,4.75,8,15,20,181536,26816,50,0,44,False
211,4,12,Viktor,Side.red,8,777,5554,777,5,10874,2.0,2,17,16,177523,20543,228,0,38,False
212,14,4,Karma,Side.red,5,738,738,738,3,5466,1.6666666666666667,0,10,18,23563,6824,20,0,30,False
213,4,14,Rumble,Side.blue,5,4038,5640,4038,11,15861,1.4545454545454546,11,17,14,200317,29591,234,1,18,False
214,7,4,Soraka,Side.blue,6,623,623,623,8,5371,1.0,2,9,25,10190,12472,3,0,39,False
